100676,New Knoxville Tel. Co.
100677,Nova Tel. Co.
100678,Orwell Tel. Co.
100679,Ottoville Mutual Tel. Co.
100680,Pattersonville Tel. Co. - OH
100681,Ridgeville Tel. Co.
100682,"Sherwood Mutual Tel. Assn., Inc."
100683,Sycamore Tel. Co.
100684,Tel Service Co.
100685,"Vaughnsville Tel. Co., Inc."
100686,Wabash Mutual Tel. Co.
100687,Communications Corp. of MI
100688,Baraga Tel. Co.
100689,Barry County Tel. Co.
100690,"Blanchard Tel. Assn., Inc."
100691,Chippewa County Tel. Co.
100692,Carr Tel. Co.
100693,Chatham Tel. Co.
100694,Climax Tel. Co.
100695,Drenthe Tel. Co.
100696,Kaleva Tel. Co.
100697,The Electric and Water Plant Board of the City of Frankfort - KY
100698,Lennon Tel. Co.
100699,Hiawatha Tel. Co.
100700,Ogden Tel. Co. - IA
100701,Ontonagon County Tel. Co.
100702,Peninsula Tel. Co.
100703,Pigeon Tel. Co.
100704,Sand Creek Tel. Co.
100705,Springport Tel. Co.
100706,Upper Peninsula Tel. Co.
